    "Time(sec)"   ,    "rms[A_P]"    ,    "rms[A_U]"    ,    "rms[A_V]"    ,"rms[ProgressVariable]","rms[EnthalpyTot]","rms[MixtureFraction]"
0.1299342320000001,-2.161535784975976,-1.697665491104213,-2.332865700136915,    -0.7027664611147391,-7.240786403992018,    0.9114405355039435
0.1295499919999994,-5.299239447945285,-4.954475207204608,-4.587736159870913,     -3.919348846675463,-10.40387445232224,    -2.687861250214231
0.1262695970000003,-5.528373949709787,-5.148968119388604,-5.033167213168555,     -3.842502814679948,-10.44026914045263,    -2.991962323168791
 0.130787187000001,-5.700772958753421,-5.316108587162129,-5.284246263458532,     -4.028239233552845,-10.60351654921082,    -3.301492293528708
0.1288891670000005,-5.883777269383526,-5.459621336980332,-5.466253165552542,     -4.190269472864427,-10.77980078894457,    -3.408730755777333
0.1285511159999988,-6.059915750093502,-5.606020349875434,-5.664235147865561,     -4.378025858202423,-10.97019096578934,    -3.557853041522539
0.1303833690000005,-6.185234552487564,-5.748532129463666,-5.792004539186521,     -4.590659428353888,-11.17360169954851,    -3.697267363378858
0.1279042279999985,-6.285778887723898,-5.864702623704366,-5.882079745996425,     -4.777842594573575,-11.33420625538923,    -3.842332509505298
0.1296030440000013,-6.387521673956197,-5.954582112476277,-5.967647455461219,     -4.897326466503347,-11.43621712813527,    -3.976004874273054
0.1302076089999993,-6.480894758432328,-6.025259873274452,-6.045478450792407,     -4.984259471553053,-11.52050471417759,    -4.091963412053157
0.1300826089999987,-6.560808516533176, -6.08368670152145,-6.105801438168948,     -5.069272321586867,-11.60623765619535,    -4.192850635280473
0.1285547030000025,-6.633182662831358,-6.135675054818518,-6.146992779631672,     -5.155768387642629,-11.69258172488275,    -4.284005162134278
0.1298352620000003,-6.697054307003082,-6.183977484736569,-6.181999754927122,     -5.241857483008117,-11.77819666818088,    -4.370819971346266
0.1289347250000006,-6.746055139000223,-6.227766878576747,-6.224446752908906,     -5.329029450553271,-11.86502657689666,    -4.453922723771334
0.1289309279999991,-6.780026881486672,-6.263677325884684,-6.280903326340614,     -5.418393256139628,-11.95322088697922,    -4.531012576980599
0.1284243509999996,-6.806629840603611,-6.289804106025678,-6.349388471270039,     -5.506403031045072,-12.03859377181128,    -4.601828791266378
0.1299367169999996,-6.834482795103439,-6.308579107547181,-6.417925507463146,     -5.585944691552702,-12.11505583280509,    -4.667172307066557
0.1282775180000009,-6.868274247291314,-6.324732637991951,-6.469083154828469,     -5.650717022522694,-12.17803882174235,     -4.72640046533891
0.1274621670000009,-6.907995291781096,-6.341846923127022,-6.495777462591812,     -5.698808993779955,-12.22646998248436,    -4.778929276968673
0.1302285590000025,  -6.9502956044177,-6.361260066484047,-6.508160199036947,     -5.733348715505264,-12.26322953630147,    -4.826032993803232
0.1281886169999993,-6.990714694042093,-6.382809696443483,-6.519842715863502,     -5.760256881228802,-12.29345658269158,    -4.869484546224526
0.1287753780000003,-7.025800850085687,-6.405825026144196,-6.537953500511918,     -5.784865870997863,-12.32150780880198,    -4.909553507010095
0.1279463400000012,-7.054118096851951,-6.429666855558986,-6.564195196920118,      -5.80989610887883, -12.3491500580777,    -4.945011250931334
0.1296723059999998,  -7.0761330795086,-6.453836266491113,-6.597819243483485,     -5.835491725312922,-12.37583375825795,    -4.974573420983062
0.1296378900000015,-7.093713743043926,-6.477918987290209,-6.636654864675981,     -5.860407292469806,-12.40011485503946,    -4.998155220370778
0.1289033750000002,-7.109480454218748,-6.501547203684892,-6.676766378074135,     -5.883343190688061,-12.42109210176964,    -5.017140621162813
0.1299069089999989,-7.125940492552058,-6.524384527298524,-6.712550656819736,     -5.903763874072721,-12.43904638908443,    -5.033804161252757
0.1291312630000014,-7.144681809384799, -6.54608522444761,-6.738870676928383,     -5.921949000832739,-12.45510387969892,    -5.050394145602954
0.1301743449999968,-7.165979239868679, -6.56625144183577,  -6.7544164447786,     -5.938537605394701,-12.47045142619474,    -5.068372683215446
0.1276529239999995,-7.188892144434881,-6.584470956019518,-6.762660565652082,     -5.954061331757851,-12.48576393889709,    -5.088103488130284
0.1303213479999989,-7.211757409345023,-6.600468484212681,-6.769168246930919,     -5.968771016575971,-12.50110775331303,    -5.109001688747909
0.1307912139999985,-7.232922213601889,-6.614289452152008,-6.778475730550056,     -5.982740515938013, -12.5162001319194,     -5.12997416904595
0.1301274039999996,-7.251446682594088,-6.626378563741456,-6.792851927651264,      -5.99605496793595, -12.5307583218294,    -5.149925884616359
0.1287480549999991,-7.267428888886993,-6.637485202735983, -6.81245089758227,     -6.008904860444279,-12.54471121039924,    -5.168135819224284
 0.129620046000003,-7.281791876495993,-6.648455740493056,-6.835873091935257,     -6.021538806294712,-12.55819712669981,    -5.184391625659317
0.1279668889999996,-7.295728951928378,-6.660034185910527,-6.860808907407964,     -6.034154706601782,-12.57143036124459,    -5.198896093354466
 0.128657840999999,-7.310162106370445,-6.672752500074456,-6.884823916110062,     -6.046837982996501,-12.58457651273119,    -5.212058267430375
0.1286098579999972,-7.325436537726802,-6.686915831567307,-6.906240824188599,     -6.059593385258909,-12.59771928140605,    -5.224297225348514
0.1292535900000011,-7.341284339696515,-6.702640837332795, -6.92474221278029,     -6.072436508673147,-12.61090855455749,    -5.235929271120702
0.1287697970000004,-7.357001431497546,-6.719899965490337,-6.941280553032472,     -6.085472816015696,-12.62422642064554,    -5.247141754830386
 0.128334026000001,-7.371759213829425,-6.738543103212582,-6.957351393462614,     -6.098909608969773,-12.63781288701022,    -5.258021154636203
0.1287794650000009,-7.384944990176709,-6.758290533188025,-6.974124062703855,     -6.112995248258694,-12.65183295166867,    -5.268598823795771
0.1293618480000021,-7.396398476804496,-6.778706344517246,-6.991864013954448,     -6.127920666898686,-12.66640510741145,    -5.278886787032427
0.1292694899999987, -7.40644576653989,-6.799166639396764,-7.009786829860429,     -6.143727349686849, -12.6815253245891,    -5.288887344496619
0.1285448540000012,-7.415738671666119, -6.81883570714974,-7.026330252463507,     -6.160249147985541,-12.69701139751451,    -5.298572928238678
0.1275971760000019,-7.425006971099026,-6.836662041111214,-7.039781901562709,     -6.177093111442286,-12.71247630006269,    -5.307846367230287
 0.130738903000001, -7.43484597030923,-6.851409227692114,-7.049055318594537,     -6.193651792122128,-12.72732962082848,    -5.316502496572379
0.1293763560000016,-7.445604911540589,-6.861743172619039,-7.054211027234833,     -6.209138763466063,-12.74080660603438,    -5.324215404465614
0.1293157489999999,-7.457377147495167,-6.866396863094276,-7.056396818509352,     -6.222645383802644,-12.75202982973637,    -5.330570187272542
0.1295127090000001,-7.470057338487329,-6.864410764477032,  -7.0573010427304,     -6.233223015112009,-12.76011055002204,    -5.335145208596979
0.1258926500000008, -7.48342113447873,-6.855395609688125, -7.05852745093615,     -6.239994546144274,-12.76428805032911,    -5.337633011364472
0.1292224699999984, -7.49718552634711, -6.83971464904084,-7.061209023261878,      -6.24228869098779,-12.76408502974751,    -5.337970037237429
0.1284310839999989,-7.511018464583116,-6.818490945325401,-7.065912981559392,     -6.239773058632986,-12.75943621803086,    -5.336435944981923
0.1290033770000001,-7.524486340334127,-6.793429729257733,-7.072738614881147,     -6.232548418575771,-12.75074433805475,    -5.333691190799772
 0.129210717000003,-7.536958281314639,-6.766542221636841,-7.081497901684251,     -6.221170310565332,-12.73884197853986,    -5.330745810480219
0.1283528929999989,-7.547523050951289,-6.739886464945289,-7.091903435874347,     -6.206588441784569,-12.72487674835044,    -5.328879605437767
0.1276437150000014,-7.555006388155228,-6.715397610334782,-7.103716089086697,     -6.190025723560179,-12.71016389824163,    -5.329548371348103
0.1279617789999996,-7.558175448254024,-6.694819643706621,-7.116824111900709,     -6.172837461864538,-12.69605091570677,    -5.334307409919139
0.1282489319999982,-7.556137641158676,-6.679715501245146,-7.131246677455564,     -6.156388399413838,-12.68381987197461,    -5.344769329669375
0.1305862080000004,-7.548781774478751, -6.67152719952353,-7.147078493947965,     -6.141968262020615,-12.67463201083395,    -5.362597265420931
0.1303688699999981,-7.536998133921283,-6.671668016881377,-7.164408451452189,     -6.130748179698912,-12.66950537410355,    -5.389518909171364
0.1268757650000012,-7.522520334630443,-6.681643552213468,-7.183247107278551,     -6.123768684637557, -12.6693107630021,    -5.427318968063351
0.1287760290000008,-7.507495432966103,-6.703214428613348,-7.203487365081202,     -6.121945380396005,-12.67476984189845,    -5.477685461356179
0.1294942230000018,-7.494036966818508, -6.73863338030142,-7.224907426171956,     -6.126077236750983,-12.68643694212239,    -5.541518026489632
0.1290226439999955,-7.483936653289716,-6.791019196681145,-7.247210601543023,     -6.136840356239984,-12.70463902003172,    -5.616513586109802
0.1288987349999999,-7.478553435693841,-6.864963556921097,-7.270085026771001,     -6.154742374218601,-12.72933270113026,    -5.690499256965311
0.1282532209999943,-7.478811146379055,-6.967353953545731,-7.293259439616921,     -6.179993737678402,-12.75981355967321,    -5.733021375108282
 0.127364036000003,-7.485229467634803,-7.106576151115057,-7.316532049652374,     -6.212215821387586,-12.79420218478362,    -5.714878409091241
0.1287904859999998,-7.497937998639213,-7.270420438889122,-7.339760092050715,     -6.249859955983112,-12.82873260660259,    -5.651187955025017
0.1276451370000018,-7.516647659907298,-7.317289137349396,-7.362814839248294,     -6.289246255330259,-12.85731953443998,    -5.577255003178209
0.1288269369999995, -7.54057299389548,-7.175353301947679,-7.385522852321657,     -6.323590420885381,-12.87270668518003,    -5.511953032176039
0.1282557349999962,-7.568324673883407,-7.025265304634494,-7.407621682148174,     -6.343714139628713, -12.8701301931672,      -5.4604376487781
